user_id,ts_start,keys_total,clicks_total,scroll_delta,moved_distance,session_num
1144,2024-03-01 12:38:40,0,0,0.0,0.0,1.0
1144,2024-03-01 12:38:50,0,0,0.0,0.0,1.0
1144,2024-03-01 12:39:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:39:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:39:20,0,0,0.0,0.0,1.0
1144,2024-03-01 12:39:30,0,0,0.0,0.0,1.0
1144,2024-03-01 12:39:40,0,0,0.0,0.0,1.0
1144,2024-03-01 12:39:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:40:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:40:11,0,0,0.0,1209.0,1.0
1144,2024-03-01 12:40:21,0,0,0.0,17.0,1.0
1144,2024-03-01 12:40:31,0,0,0.0,72.0,1.0
1144,2024-03-01 12:40:41,0,1,0.0,19.0,1.0
1144,2024-03-01 12:40:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:41:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:41:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:41:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:41:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:41:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:41:51,0,1,0.0,0.0,1.0
1144,2024-03-01 12:42:01,0,1,0.0,0.0,1.0
1144,2024-03-01 12:42:11,0,0,0.0,133.0,1.0
1144,2024-03-01 12:42:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:42:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:42:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:42:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:43:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:43:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:43:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:43:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:43:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:43:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:44:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:44:11,0,0,0.0,337.0,1.0
1144,2024-03-01 12:44:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:44:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:44:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:44:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:45:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:45:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:45:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:45:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:45:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:45:51,0,0,0.0,417.0,1.0
1144,2024-03-01 12:46:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:46:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:46:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:46:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:46:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:46:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:47:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:47:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:47:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:47:31,0,0,0.0,0.0,1.0
1144,2024-03-01 12:47:41,0,0,0.0,0.0,1.0
1144,2024-03-01 12:47:51,0,0,0.0,0.0,1.0
1144,2024-03-01 12:48:01,0,0,0.0,0.0,1.0
1144,2024-03-01 12:48:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:48:21,0,0,0.0,0.0,1.0
1144,2024-03-01 12:48:31,0,0,0.0,453.0,1.0
1144,2024-03-01 12:48:41,0,0,0.0,4564.0,1.0
1144,2024-03-01 12:48:51,1,2,120.0,161.0,1.0
1144,2024-03-01 12:49:01,8,0,0.0,0.0,1.0
1144,2024-03-01 12:49:11,6,1,0.0,755.0,1.0
1144,2024-03-01 12:49:21,8,0,0.0,0.0,1.0
1144,2024-03-01 12:49:31,9,0,0.0,0.0,1.0
1144,2024-03-01 12:49:41,2,2,0.0,985.0,1.0
1144,2024-03-01 12:49:51,7,2,0.0,984.0,1.0
1144,2024-03-01 12:50:01,8,0,0.0,0.0,1.0
1144,2024-03-01 12:50:11,7,0,0.0,0.0,1.0
1144,2024-03-01 12:50:21,21,0,0.0,0.0,1.0
1144,2024-03-01 12:50:31,7,0,0.0,0.0,1.0
1144,2024-03-01 12:50:41,2,2,0.0,1325.0,1.0
1144,2024-03-01 12:50:51,0,2,0.0,1793.0,1.0
1144,2024-03-01 12:51:01,0,1,0.0,1723.0,1.0
1144,2024-03-01 12:51:11,1,3,0.0,648.0,1.0
1144,2024-03-01 12:51:21,0,1,0.0,1038.0,1.0
1144,2024-03-01 12:51:31,0,1,0.0,1151.0,1.0
1144,2024-03-01 12:51:41,0,1,0.0,2941.0,1.0
1144,2024-03-01 12:51:51,0,1,0.0,839.0,1.0
1144,2024-03-01 12:52:01,0,0,0.0,2699.0,1.0
1144,2024-03-01 12:52:11,0,0,0.0,0.0,1.0
1144,2024-03-01 12:52:21,0,1,0.0,2899.0,1.0
1144,2024-03-01 12:52:31,0,1,0.0,4262.0,1.0
1144,2024-03-01 12:52:41,0,1,0.0,7226.0,1.0
1144,2024-03-01 12:52:51,0,2,0.0,3272.0,1.0
1144,2024-03-01 12:53:01,0,6,0.0,1245.0,1.0
1144,2024-03-01 12:53:11,0,2,0.0,2642.0,1.0
1144,2024-03-01 12:53:21,0,3,313.0,1831.0,1.0
1144,2024-03-01 12:53:31,0,2,0.0,2043.0,1.0
1144,2024-03-01 12:53:41,7,1,0.0,2482.0,1.0
1144,2024-03-01 12:53:51,0,2,0.0,2122.0,1.0
1144,2024-03-01 12:54:01,14,2,0.0,1039.0,1.0
1144,2024-03-01 12:54:11,3,1,0.0,301.0,1.0
1144,2024-03-01 12:54:21,0,3,0.0,4356.0,1.0
1144,2024-03-01 12:54:31,0,5,0.0,2276.0,1.0
1144,2024-03-01 12:54:41,7,2,0.0,228.0,1.0
1144,2024-03-01 12:54:51,18,0,0.0,0.0,1.0
1144,2024-03-01 12:55:01,16,0,0.0,0.0,1.0
1144,2024-03-01 12:55:11,25,1,0.0,1761.0,1.0
